id,user_id,customer_id,service_price,date
1,13.0,1.0,"b'[{""service"":""Nails"",""price"":""20.1""},{""service"":""Nails"",""price"":""20.1""}]'",1987-09-10
2,13.0,1.0,"b'[{""service"":""Nails"",""price"":""20.1""},{""service"":""Nails"",""price"":""20.1""}]'",1987-09-10
4,13.0,1.0,"b'[{""service"":""Nails"",""price"":""20.1""},{""service"":""Nails"",""price"":""20.1""}]'",1987-09-10
7,102.0,127.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""5000""},{""service"":""\\u8131\\u6bdb"",""price"":""9000""}]'",2018-08-06
10,33.0,126.0,"b'[{""service"":""\\u30a2\\u30a4\\u30e9\\u30c3\\u30b7\\u30e5"",""price"":""5.000,00\\u00a0\\u00a5"",""payment"":""\\u73fe\\u91d1""},{""service"":""\\u8131\\u6bdb"",""price"":""3.000,00\\u00a0\\u00a5"",""payment"":""\\u30ab\\u30fc\\u30c9""},{""service"":""\\u30d5\\u30a7\\u30a4\\u30b7\\u30e3\\u30eb"",""payment"":"""",""service_id"":""6"",""customer_service_id"":""22"",""price"":""""}]'",2018-08-05
13,33.0,149.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""4,000\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-08
14,102.0,159.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""21,260\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-08-10
15,102.0,166.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""7,200\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-08-11
16,102.0,165.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""16,740\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-11
17,102.0,164.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""7,000\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-11
18,102.0,167.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""13,280\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-11
19,102.0,169.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,804\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-11
20,102.0,170.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""16,232\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-08-11
21,102.0,171.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""7,776\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-11
22,102.0,168.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""4,800\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-11
23,102.0,178.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""0\\u5186"",""payment"":""\\u73fe\\u91d1""},{""service"":""\\u30d5\\u30a7\\u30a4\\u30b7\\u30e3\\u30eb"",""price"":""0\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-12
24,102.0,177.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,300\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-12
25,102.0,179.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,300\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-12
26,102.0,180.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""4,300\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-12
27,102.0,181.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,640\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-08-13
28,102.0,184.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,800\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-13
29,102.0,182.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,800\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-13
30,102.0,187.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,800\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-13
31,102.0,186.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""4,800\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-13
32,102.0,185.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""7,000\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-13
33,102.0,183.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,100\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-08-13
34,102.0,191.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,100\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-16
35,102.0,190.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,800\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-16
36,102.0,189.0,"b'[{""service"":""\\u8131\\u6bdb"",""price"":""2,000\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-16
37,102.0,197.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,480\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-08-16
38,102.0,198.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,500\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-17
39,102.0,199.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,800\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-17
41,102.0,200.0,"b'[{""service"":""\\u8131\\u6bdb"",""price"":""16,200\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-17
42,102.0,202.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,300\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-08-17
43,102.0,203.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,480\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-18
44,102.0,204.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,480\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-08-18
45,102.0,205.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,800\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-18
46,102.0,206.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""4,800\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-18
47,102.0,209.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,800\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-19
48,102.0,211.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,640\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-19
49,102.0,213.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""7,600\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-19
50,102.0,214.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""10,908\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-20
51,102.0,216.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,912\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-08-22
52,102.0,215.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""7,124\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-08-22
53,102.0,217.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""12,204\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-22
54,102.0,218.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,200\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-08-22
55,102.0,220.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""7,124\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-23
56,33.0,230.0,"b'[{""service"":""\\u30d5\\u30a7\\u30a4\\u30b7\\u30e3\\u30eb"",""price"":""2,000\\u5186"",""payment"":""\\u30c1\\u30b1\\u30c3\\u30c8""}]'",2018-08-24
57,33.0,231.0,"b'[{""service"":""\\u30d5\\u30a7\\u30a4\\u30b7\\u30e3\\u30eb"",""price"":""2,000\\u5186"",""payment"":""\\u30c1\\u30b1\\u30c3\\u30c8""}]'",2018-08-24
58,102.0,223.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""4,200\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-24
59,102.0,228.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""10,800\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-08-24
60,102.0,222.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""17,280\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-24
61,102.0,243.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,800\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-25
62,102.0,242.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,500\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-25
63,102.0,241.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,300\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-08-25
64,102.0,253.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,200\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-27
65,102.0,256.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,800\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-27
67,102.0,259.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,600\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-30
68,102.0,266.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,240\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-08-30
69,102.0,272.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""9,396\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-09-01
70,102.0,278.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,096\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-09-02
71,102.0,162.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""13,408\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-09-02
72,102.0,283.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,300\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-09-02
73,102.0,179.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""6,480\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-09-02
74,102.0,279.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,640\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-09-02
75,102.0,281.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,300\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-09-02
76,102.0,282.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""5,424\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-09-02
77,102.0,171.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""7,560\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-09-03
78,102.0,284.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""5,980\\u5186"",""payment"":""\\u73fe\\u91d1""}]'",2018-09-03
81,102.0,287.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""9,120\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-09-03
82,102.0,288.0,"b'[{""service"":""\\u30cd\\u30a4\\u30eb"",""price"":""8,300\\u5186"",""payment"":""\\u30ab\\u30fc\\u30c9""}]'",2018-09-02
