ch_id,user_id,date,customer_id,ns_id,service_id,employee_id_x,service_price,np_id,product_id,employee_id_y,sale_price,nt_id,ticket_id,ticket_price,employee_id
1.0,13.0,1987-09-10,1.0,,,,,,,,,,,,
2.0,13.0,1987-09-10,1.0,,,,,,,,,,,,
4.0,13.0,1987-09-10,1.0,,,,,,,,,,,,
7.0,102.0,2018-08-06,127.0,187.0,0.0,0.0,b'5000',,,,,,,,
7.0,102.0,2018-08-06,127.0,188.0,0.0,0.0,b'9000',,,,,,,,
10.0,33.0,2018-08-05,126.0,1.0,0.0,0.0,"b'5.000,00\xc2\xa0\xc2\xa5'",,,,,,,,
10.0,33.0,2018-08-05,126.0,2.0,0.0,0.0,"b'3.000,00\xc2\xa0\xc2\xa5'",,,,,,,,
13.0,33.0,2018-08-08,149.0,4.0,0.0,0.0,"b'4,000\xe5\x86\x86'",,,,,,,,
14.0,102.0,2018-08-10,159.0,189.0,0.0,0.0,"b'21,260\xe5\x86\x86'",,,,,,,,
15.0,102.0,2018-08-11,166.0,190.0,0.0,0.0,"b'7,200\xe5\x86\x86'",,,,,,,,
16.0,102.0,2018-08-11,165.0,191.0,0.0,0.0,"b'16,740\xe5\x86\x86'",,,,,,,,
17.0,102.0,2018-08-11,164.0,192.0,0.0,0.0,"b'7,000\xe5\x86\x86'",,,,,,,,
18.0,102.0,2018-08-11,167.0,193.0,0.0,0.0,"b'13,280\xe5\x86\x86'",,,,,,,,
19.0,102.0,2018-08-11,169.0,194.0,0.0,0.0,"b'6,804\xe5\x86\x86'",,,,,,,,
20.0,102.0,2018-08-11,170.0,195.0,0.0,0.0,"b'16,232\xe5\x86\x86'",,,,,,,,
21.0,102.0,2018-08-11,171.0,196.0,0.0,0.0,"b'7,776\xe5\x86\x86'",,,,,,,,
22.0,102.0,2018-08-11,168.0,197.0,0.0,0.0,"b'4,800\xe5\x86\x86'",,,,,,,,
23.0,102.0,2018-08-12,178.0,198.0,0.0,0.0,b'0\xe5\x86\x86',,,,,,,,
23.0,102.0,2018-08-12,178.0,199.0,0.0,0.0,b'0\xe5\x86\x86',,,,,,,,
24.0,102.0,2018-08-12,177.0,200.0,0.0,0.0,"b'8,300\xe5\x86\x86'",,,,,,,,
25.0,102.0,2018-08-12,179.0,201.0,0.0,0.0,"b'8,300\xe5\x86\x86'",,,,,,,,
26.0,102.0,2018-08-12,180.0,202.0,0.0,0.0,"b'4,300\xe5\x86\x86'",,,,,,,,
27.0,102.0,2018-08-13,181.0,203.0,0.0,0.0,"b'8,640\xe5\x86\x86'",,,,,,,,
28.0,102.0,2018-08-13,184.0,204.0,0.0,0.0,"b'6,800\xe5\x86\x86'",,,,,,,,
29.0,102.0,2018-08-13,182.0,205.0,0.0,0.0,"b'6,800\xe5\x86\x86'",,,,,,,,
30.0,102.0,2018-08-13,187.0,206.0,0.0,0.0,"b'6,800\xe5\x86\x86'",,,,,,,,
31.0,102.0,2018-08-13,186.0,207.0,0.0,0.0,"b'4,800\xe5\x86\x86'",,,,,,,,
32.0,102.0,2018-08-13,185.0,208.0,0.0,0.0,"b'7,000\xe5\x86\x86'",,,,,,,,
33.0,102.0,2018-08-13,183.0,209.0,0.0,0.0,"b'8,100\xe5\x86\x86'",,,,,,,,
34.0,102.0,2018-08-16,191.0,210.0,0.0,0.0,"b'8,100\xe5\x86\x86'",,,,,,,,
35.0,102.0,2018-08-16,190.0,211.0,0.0,0.0,"b'6,800\xe5\x86\x86'",,,,,,,,
36.0,102.0,2018-08-16,189.0,212.0,0.0,0.0,"b'2,000\xe5\x86\x86'",,,,,,,,
37.0,102.0,2018-08-16,197.0,213.0,0.0,0.0,"b'6,480\xe5\x86\x86'",,,,,,,,
38.0,102.0,2018-08-17,198.0,214.0,0.0,0.0,"b'6,500\xe5\x86\x86'",,,,,,,,
